date,temperature,pH,O2,NTU,uS
2020-01-18 03,11.9,7.69,11.99,6.5,217.3
2020-01-18 04,12.3,7.67,10.5,5.5,216.9
2020-01-18 05,12,7.67,11.36,6,217.2
2020-01-18 06,11.9,7.68,11.73,6,217.6
2020-01-18 07,11.9,7.68,11.8,6,217.2
2020-01-18 08,12.3,7.67,10.41,5.8,217
2020-01-18 09,12,7.66,10.99,5.8,217.6
2020-01-18 10,11.9,7.68,11.63,5.8,217.5
2020-01-18 11,11.9,7.68,12.18,6.2,217.4
2020-01-18 12,12.3,7.67,10.15,5.9,216.9
2020-01-18 13,12.1,7.67,10.92,5.8,217.3
2020-01-18 14,12,7.68,11.86,6.1,217.4
2020-01-18 15,12,7.68,11.87,6.1,217.4
2020-01-18 16,12.3,7.66,10.41,5.4,217
2020-01-18 18,11.9,7.66,11.51,6,217.5
2020-01-18 19,11.8,7.67,11.9,6.2,217.7
2020-01-18 20,12.2,7.66,10.4,5.7,216.9
2020-01-18 21,12,7.66,11.73,8.1,217.5
2020-01-18 22,11.8,7.66,11.98,6.1,217.6
2020-01-18 23,11.7,7.67,12.41,7.5,217.9
2020-01-19 00,12.2,7.65,10.39,6.2,217
2020-01-19 01,12,7.65,11.48,6.2,217.6
2020-01-19 02,11.8,7.67,11.73,6.1,217.6
2020-01-19 03,11.7,7.67,11.7,6.1,217.8
2020-01-19 04,12.2,7.66,10.25,6,216.9
2020-01-19 05,12,7.65,11.48,6.1,217.6
2020-01-19 06,11.7,7.66,12.48,7.5,217.7
2020-01-19 07,11.7,7.66,12.43,7.5,217.7
2020-01-19 08,12.2,7.65,10.08,5.1,216.9
2020-01-19 09,12.1,7.64,11.39,6,217.5
2020-01-19 10,11.9,7.65,11.46,5.6,217.4
2020-01-19 11,12,7.66,11.78,6.3,217.5
2020-01-19 12,12.4,7.65,10.07,5.3,216.8
2020-01-19 13,12.3,7.65,10.9,5.7,217.1
2020-01-19 14,12.2,7.66,11.03,5.6,217.2
2020-01-19 15,12.2,7.66,11.17,5.7,217
2020-01-19 16,12.4,7.65,10.1,5.3,216.6
2020-01-19 17,12.2,7.65,10.85,5.6,216.9
2020-01-19 18,12.1,7.67,11.28,6,216.8
2020-01-19 19,12.1,7.68,11.68,6.1,217.3
2020-01-19 20,12.3,7.66,10.15,5.6,216.6
2020-01-19 21,12,7.65,11.02,6,217
2020-01-19 22,11.9,7.66,11.71,6.2,217.1
2020-01-19 23,11.9,7.66,11.76,6.2,217.1
2020-01-20 00,12.3,7.64,10.14,5.5,216.5
2020-01-20 01,12,7.65,11.35,6.1,216.9
2020-01-20 02,11.7,7.65,11.53,5.7,217.2
2020-01-20 03,11.7,7.65,11.87,5.9,217.1
2020-01-20 04,12.2,7.64,10.13,5.7,216.4
2020-01-20 05,11.9,7.65,11.2,5.8,217.1
2020-01-20 06,11.6,7.65,12.26,7.4,217.2
2020-01-20 07,11.5,7.65,11.68,5.3,217.1
2020-01-20 08,12.1,7.64,9.88,5.3,216.3
2020-01-20 09,12,7.63,11.27,6.1,216.6
2020-01-20 10,11.8,7.65,12.01,6.3,217
2020-01-20 11,11.9,7.65,11.3,5.8,216.7
2020-01-20 12,12.3,7.64,9.78,5.4,216
2020-01-20 13,12.2,7.64,10.72,6.2,216.2
2020-01-20 14,12.2,7.65,11.71,6.4,216.5
2020-01-20 15,12.3,7.65,11.07,5.9,216.2
2020-01-20 16,12.4,7.64,9.94,5.6,215.7
2020-01-20 17,12.2,7.64,10.71,5.6,216.1
2020-01-20 18,12.1,7.65,11.41,6.1,216.2
2020-01-20 19,12.1,7.66,11.47,6,216.1
2020-01-20 20,12.4,7.64,9.95,5.2,215.5
2020-01-20 21,12.1,7.64,11.11,6.4,215.9
2020-01-20 22,12,7.65,11.55,5.8,216.2
2020-01-20 23,11.9,7.65,11.53,5.8,216.1
2020-01-21 00,12.3,7.63,9.76,5.5,215.6
2020-01-21 01,12,7.63,11.24,6.2,216.1
2020-01-21 02,11.7,7.64,12.21,7.6,216.2
2020-01-21 03,11.7,7.65,12.48,7.6,216.5
2020-01-21 04,12.2,7.64,9.99,5.4,215.4
2020-01-21 05,11.9,7.64,11.16,6.1,215.8
2020-01-21 06,11.6,7.65,11.97,6.1,216.3
2020-01-21 07,11.6,7.64,11.8,6,216.2
2020-01-21 08,12.2,7.62,10.03,5.5,215.3
2020-01-21 09,12.1,7.63,11.07,7.2,216
2020-01-21 10,12,7.63,11.89,6.6,215.5
2020-01-21 11,12.1,7.64,11.45,6.2,215.6
2020-01-21 12,12.4,7.63,9.85,5.7,215
2020-01-21 13,12.3,7.63,10.68,5.8,215.3
2020-01-21 14,12.2,7.63,11.83,7.4,215.2
2020-01-21 15,12.1,7.64,12.18,7.7,215.5
2020-01-21 16,12.4,7.63,9.91,5.6,214.5
2020-01-21 17,12.2,7.64,10.69,5.8,214.9
2020-01-21 18,12.1,7.64,11.72,6.2,214.9
2020-01-21 19,12.1,7.65,11.55,6.8,214.8
2020-01-21 20,12.4,7.63,9.87,5.4,214.4
2020-01-21 21,12.2,7.63,11.25,7.5,214.5
2020-01-21 22,12.1,7.64,12.05,8,214.7
2020-01-21 23,12.1,7.65,11.63,8.5,214.6
2020-01-22 00,12.4,7.62,9.85,5.6,214.2
2020-01-22 01,12.2,7.63,10.59,6.4,214.5
2020-01-22 02,12.2,7.64,11.07,6.6,214.8
2020-01-22 03,12.2,7.64,11.54,6.3,214.7
2020-01-22 04,12.4,7.63,9.76,5.4,214
2020-01-22 05,12.2,7.63,11.27,7.6,214.8
2020-01-22 06,12.2,7.62,11.75,7.4,214.5
2020-01-22 07,12.2,7.63,11.67,8.3,214.3
2020-01-22 08,12.4,7.63,9.74,5.5,213.8
2020-01-22 09,12.2,7.63,10.76,5.9,214.1
2020-01-22 10,12.2,7.63,10.94,5.7,214.1
2020-01-22 11,12.2,7.64,11.26,5.9,214.2
2020-01-22 12,12.4,7.63,10.82,6,213.7
2020-01-22 13,12.3,7.63,10.81,6,213.7
2020-01-22 14,12.3,7.64,11.25,5.9,214
2020-01-22 15,12.3,7.64,10.96,5.8,213.7
2020-01-22 16,12.5,7.62,9.67,5.7,213.5
2020-01-22 17,12.3,7.62,10.85,6.2,213.8
2020-01-22 18,12.3,7.63,10.97,5.9,213.6
2020-01-22 19,12.3,7.64,11.21,6.3,213.6
2020-01-22 20,12.4,7.62,9.68,5.8,213.1
2020-01-22 21,12.3,7.63,10.51,6,213.8
2020-01-22 22,12.3,7.64,10.99,5.7,213.3
2020-01-22 23,12.4,7.63,10.96,5.9,213.1
2020-01-23 00,12.5,7.63,9.7,5.7,212.6
2020-01-23 01,12.3,7.62,10.75,6.2,213.2
2020-01-23 02,12.4,7.63,10.86,5.7,213.1
2020-01-23 03,12.3,7.63,11.22,6.3,212.9
2020-01-23 04,12.4,7.63,9.65,5.8,212.3
2020-01-23 05,12.3,7.63,10.53,6.1,212.8
2020-01-23 06,12.4,7.64,11.24,6.2,212.4
2020-01-23 07,12.4,7.63,11.17,5.9,212.3
2020-01-23 08,12.5,7.62,9.64,5.5,212.1
2020-01-23 09,12.3,7.62,10.55,5.4,212.4
2020-01-23 10,12.4,7.63,11.13,6.2,212.2
2020-01-23 11,12.4,7.64,10.8,5.5,212
2020-01-23 12,12.5,7.63,9.4,5.3,211.9
2020-01-23 13,12.4,7.62,10.81,6.1,211.8
2020-01-23 14,12.5,7.64,10.94,5.9,211.7
2020-01-23 15,12.5,7.64,11.11,6.2,211.6
2020-01-23 16,12.5,7.63,9.62,5.5,211.2
2020-01-23 17,12.3,7.63,10.59,6.3,211.4
2020-01-23 18,12.5,7.64,10.83,5.9,211.3
2020-01-23 19,12.5,7.64,10.87,6,211.2
2020-01-23 20,12.5,7.63,9.33,5.4,211.3
2020-01-23 21,12.3,7.63,10.59,5.9,211
2020-01-23 22,12.4,7.64,10.88,5.9,211
2020-01-23 23,12.3,7.64,11.07,5.9,210.8
2020-01-24 00,12.4,7.62,9.58,5.6,210.6
2020-01-24 01,12.3,7.63,10.6,5.9,210.8
2020-01-24 02,12.4,7.64,10.99,5.9,210.4
2020-01-24 03,12.3,7.64,11.24,6.1,210.6
